,year,team_name,team_id,conference_id,conference,division,player_id,player_url,player_name,Yr,Pos,Jersey,GP,GS,BA,OBPct,SlgPct,R,AB,H,Doubles,Triples,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,RBI2out
1,2013,Cornell,167,865,Ivy League,1,1215858,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1215858,"Plantier, Ryan",Jr,1B,24,40,39,0.227,0.307,0.379,16,132,30,5,NA,NA,3,24,15,1,2,2,27,1,1,NA,2,NA
2,2013,Cornell,167,865,Ivy League,1,1324529,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1324529,"Whetsel, JD",So,OF,6,40,40,0.3,0.402,0.414,27,140,42,11,NA,NA,1,12,15,9,NA,5,23,4,6,NA,19,NA
3,2013,Cornell,167,865,Ivy League,1,1215855,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1215855,"D'Alessandro, Tom",Jr,OF,3,40,39,0.252,0.377,0.336,17,131,33,6,NA,NA,1,15,23,4,1,2,31,3,2,NA,11,NA
4,2013,Cornell,167,865,Ivy League,1,1324528,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1324528,"Tatum, Kevin",So,OF,2,38,38,0.246,0.362,0.402,15,122,30,9,NA,NA,2,14,23,1,3,1,23,4,NA,NA,2,NA
5,2013,Cornell,167,865,Ivy League,1,1329458,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1329458,"Hall, Matt",So,C,4,34,33,0.271,0.358,0.339,12,118,32,8,NA,NA,NA,16,10,7,2,NA,12,5,NA,NA,1,NA
6,2013,Cornell,167,865,Ivy League,1,1085360,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1085360,"Peters, Brenton",Sr,INF,5,34,34,0.267,0.358,0.383,14,120,32,6,2,NA,NA,6,15,2,NA,4,24,1,3,NA,5,NA
7,2013,Cornell,167,865,Ivy League,1,1215856,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1215856,"Swinford, Ben",Jr,3B,9,30,28,0.261,0.355,0.391,18,92,24,3,1,NA,1,12,9,5,1,3,17,NA,2,NA,7,NA
8,2013,Cornell,167,865,Ivy League,1,1085357,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1085357,"McCabe, Connor",Sr,OF,25,26,16,0.19,0.203,0.241,7,58,11,3,NA,NA,NA,7,1,NA,NA,2,9,1,1,NA,1,NA
9,2013,Cornell,167,865,Ivy League,1,1085364,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1085364,"Souza, Spenser",Sr,OF,7,23,23,0.276,0.284,0.425,10,87,24,4,1,NA,1,14,1,NA,NA,2,10,NA,3,NA,12,NA
10,2013,Cornell,167,865,Ivy League,1,1439148,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&org_id=167&stats_player_seq=1439148,"Lowell, Eliot",Fr,SS,18,22,15,0.154,0.185,0.154,3,52,8,NA,NA,NA,NA,5,1,1,NA,1,19,NA,NA,NA,NA,NA
